sample_id,paper_id,year,dataset_type,material_system,device_system,precursor,carbonization_temperature_c,activation_method,bet_m2_g,total_pore_volume_cm3_g,d002_nm,id_ig,n_at_percent,o_at_percent,electrolyte,current_density_mag,mass_loading_mg_cm2,voltage_window,ice_percent,reversible_capacity_mah_g,source_location,doi,quality_tier,needs_manual_check,check_reason
SYN_SIB_001,SYN_P001,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,750,KOH,315.2,,,1.707,0,,carbonate,30,,0.01-3.0 V,38.83,235.11,synthetic_demo_no_source_pdf,,Tier2,yes,missing mass loading
SYN_SIB_002,SYN_P002,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,750,None,57.41,0.072,,,,,carbonate,100,1.1,0.01-3.0 V,48.75,243.42,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_003,SYN_P003,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1000,None,43.39,0.067,,,,,carbonate,100,1.02,0.01-3.0 V,49.28,252.49,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_004,SYN_P004,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,algae,1200,CO2,,0.637,0.3961,,,1.78,carbonate,100,0.91,0.01-3.0 V,51.93,285.21,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_005,SYN_P005,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,900,H3PO4,720.91,0.68,0.3765,,1.78,,carbonate,50,,0.01-3.0 V,39.89,327.88,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_006,SYN_P006,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,700,CO2,352.09,,0.378,1.916,,,carbonate,20,1.26,0.01-3.0 V,42.05,227.18,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_007,SYN_P007,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,1000,CO2,416.46,,0.3784,1.38,0.89,,carbonate,20,1.6,0.01-3.0 V,43.42,281.54,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_008,SYN_P008,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1100,None,66.29,,,0.837,,8.17,carbonate,50,1.26,0.01-3.0 V,56.19,261.61,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_009,SYN_P009,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,750,None,77.78,,0.3774,1.361,,,carbonate,100,0.99,0.01-3.0 V,53.69,217.45,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_010,SYN_P010,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1300,None,86.78,,,1.175,,,carbonate,200,0.78,0.01-3.0 V,59.87,346.02,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_011,SYN_P011,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,750,None,,,0.378,1.889,,,carbonate,200,0.91,0.01-3.0 V,46.57,214.17,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_012,SYN_P012,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,1000,None,240.74,0.345,0.3633,,,9.77,ether,50,1.21,0.01-3.0 V,51.15,268.71,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_013,SYN_P013,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,algae,800,None,174.47,,0.3795,,2.87,1.9,ether,30,0.64,0.01-3.0 V,48.98,262.41,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_014,SYN_P014,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,algae,750,H3PO4,782.94,,0.3769,1.573,1.18,,ether,30,1.64,0.01-3.0 V,33.44,304.5,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_015,SYN_P015,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,900,None,55.14,,0.3727,1.564,0,6.52,carbonate,100,0.81,0.01-3.0 V,46.65,324.65,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_016,SYN_P016,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,,None,55.73,0.061,0.3752,0.649,,,carbonate,200,0.37,0.01-3.0 V,48.15,254.76,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_017,SYN_P017,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,750,None,108.94,,0.3872,0.931,,5.57,carbonate,30,1.07,0.01-3.0 V,46.14,281.7,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_018,SYN_P018,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,1100,None,346.85,0.383,0.3736,1.35,1.08,,carbonate,100,0.73,0.01-3.0 V,41.64,189.05,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_019,SYN_P019,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,900,None,38.99,,0.3763,1.072,0,11.24,carbonate,100,1.23,0.01-3.0 V,49.65,226.68,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_020,SYN_P020,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,1000,KOH,306.16,,,1.034,,,carbonate,100,1.29,0.01-3.0 V,37.2,264.98,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_021,SYN_P001,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1200,None,63.13,0.084,0.3656,1.505,0,,carbonate,20,,0.01-3.0 V,52.16,221.5,synthetic_demo_no_source_pdf,,Tier2,yes,missing mass loading
SYN_SIB_022,SYN_P002,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,850,None,131.26,0.135,,0.946,1.16,,carbonate,50,1.48,0.01-3.0 V,46.47,249.75,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_023,SYN_P003,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,700,None,104.57,0.135,0.38,1.298,0,,carbonate,100,0.75,0.01-3.0 V,44.89,215.26,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_024,SYN_P004,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,1200,KOH,579.43,0.361,,1.129,,4.49,carbonate,50,1.41,0.01-3.0 V,47.1,265.4,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_025,SYN_P005,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,750,None,122.59,0.176,0.3704,,0,,carbonate,100,1.04,0.01-3.0 V,38.36,224.93,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_026,SYN_P006,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,850,None,86.03,,0.3863,1.583,0.55,,carbonate,100,,0.01-3.0 V,48.28,248.02,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_027,SYN_P007,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,900,steam,828.3,,,,,,carbonate,50,1.73,0.01-3.0 V,22.2,263.23,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_028,SYN_P008,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,900,None,,,0.3765,1.336,,,carbonate,20,0.83,0.01-3.0 V,40.59,231.91,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_029,SYN_P009,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,1200,None,22.9,,0.3702,,4.98,,carbonate,20,1.29,0.01-3.0 V,46.45,331.14,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_030,SYN_P010,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cotton_stalk,1000,None,32.85,0.052,,0.842,,,carbonate,20,1.4,0.01-3.0 V,47.31,265.93,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_031,SYN_P011,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,700,None,35.94,0.026,0.3894,,2.46,,carbonate,50,1.22,0.01-3.0 V,33.31,183.94,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_032,SYN_P012,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,1200,None,24.28,0.023,0.3695,1.127,,,carbonate,100,1.31,0.01-3.0 V,50.75,330.74,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_033,SYN_P013,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,1000,steam,270.67,0.196,,1.158,,,ether,30,,0.01-3.0 V,41.21,258.36,synthetic_demo_no_source_pdf,,Tier2,yes,missing mass loading
SYN_SIB_034,SYN_P014,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,900,None,67.35,,,1.073,2.38,0.63,carbonate,100,0.87,0.01-3.0 V,49.91,240.38,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_035,SYN_P015,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,1000,None,63.81,,,1.147,0.99,4.93,carbonate,200,1.67,0.01-3.0 V,56.44,237.32,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_036,SYN_P016,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,1100,None,155.68,0.143,0.3643,0.955,,6.36,carbonate,200,1.5,0.01-3.0 V,49.07,321.47,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_037,SYN_P017,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,1000,None,,0.134,,,,3.41,carbonate,50,1.46,0.01-3.0 V,45.43,262.53,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_038,SYN_P018,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,1200,KOH,361.53,,0.371,1.414,,,carbonate,100,0.9,0.01-3.0 V,58.14,278.08,synthetic_demo_no_source_pdf,,Tier1,no,
