sample_id,paper_id,year,doi,source_location,material_system,device_system,precursor,carbonization_temperature_c,activation_method,bet_m2_g,total_pore_volume_cm3_g,d002_nm,id_ig,n_at_percent,o_at_percent,electrolyte,current_density_mag,mass_loading_mg_cm2,voltage_window,ice_percent,reversible_capacity_mah_g,specific_capacitance_f_g,quality_tier,needs_manual_check,check_reason,notes
SYN-SIB-001,P001,2025,synthetic-demo-doi-001,Synthetic Table 1,synthetic biomass hard carbon,SIB,cellulose,1223.5,CO2,18.76,0.02,,1.09,1.48,2.97,1 M NaPF6 in diglyme,500.0,1.47,0.01-3.0 V vs Na/Na+,61.89,252.8,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-002,P001,2025,synthetic-demo-doi-001,Synthetic Table 1,synthetic biomass hard carbon,SIB,cellulose,1330.6,KOH,60.31,0.033,0.3613,1.23,1.87,5.71,1 M NaPF6 in EC/DEC,50.0,1.95,0.01-3.0 V vs Na/Na+,58.31,229.5,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-003,P001,2025,synthetic-demo-doi-001,Synthetic Table 1,synthetic biomass hard carbon,SIB,rice husk,1513.6,none,43.27,0.051,0.3655,1.152,2.37,4.5,1 M NaPF6 in EC/DEC,50.0,,0.01-3.0 V vs Na/Na+,65.62,249.8,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-004,P001,2025,synthetic-demo-doi-001,Synthetic Table 1,synthetic biomass hard carbon,SIB,chitosan,1224.2,KOH,22.33,0.02,,1.253,2.21,7.09,1 M NaClO4 in EC/PC,200.0,,0.01-3.0 V vs Na/Na+,55.79,259.3,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-005,P002,2023,synthetic-demo-doi-002,Synthetic Table 2,synthetic biomass hard carbon,SIB,wood,1492.3,none,89.74,0.048,0.3587,1.046,0.3,5.25,1 M NaClO4 in EC/PC,100.0,,0.01-3.0 V vs Na/Na+,66.38,252.1,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-006,P002,2023,synthetic-demo-doi-002,Synthetic Table 2,synthetic biomass hard carbon,SIB,pomelo peel,1075.1,CO2,86.47,0.033,0.3647,1.399,1.14,7.54,1 M NaPF6 in EC/DMC,20.0,1.13,0.01-3.0 V vs Na/Na+,53.33,238.8,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-007,P002,2023,synthetic-demo-doi-002,Synthetic Table 2,synthetic biomass hard carbon,SIB,wood,1205.8,none,67.64,0.142,0.3648,0.965,1.68,5.73,1 M NaPF6 in diglyme,200.0,1.49,0.01-3.0 V vs Na/Na+,63.68,273.4,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-008,P002,2023,synthetic-demo-doi-002,Synthetic Table 2,synthetic biomass hard carbon,SIB,cellulose,974.6,none,81.76,0.116,0.4018,1.7,1.91,3.63,1 M NaPF6 in diglyme,500.0,1.29,0.01-3.0 V vs Na/Na+,57.75,233.8,,Tier1,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-009,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,pomelo peel,1403.3,none,126.32,0.09,0.3477,0.952,0.77,9.71,1 M NaPF6 in EC/DEC,200.0,1.49,0.01-3.0 V vs Na/Na+,54.88,256.7,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-010,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,chitosan,1504.3,none,186.12,0.177,0.3622,1.165,2.81,4.53,1 M NaPF6 in EC/DEC,500.0,1.59,0.01-3.0 V vs Na/Na+,68.53,270.2,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-011,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,sucrose,1072.3,KOH,37.28,0.066,0.3645,1.164,1.34,6.55,1 M NaPF6 in EC/DMC,100.0,,0.01-3.0 V vs Na/Na+,58.72,256.0,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-012,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,lignin,900.8,CO2,48.68,0.028,0.388,1.283,2.84,6.01,1 M NaPF6 in EC/DMC,200.0,1.12,0.01-3.0 V vs Na/Na+,58.26,251.0,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-013,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,sucrose,1185.2,none,81.87,0.135,0.3578,1.034,0.0,4.85,1 M NaPF6 in EC/DMC,50.0,1.01,0.01-3.0 V vs Na/Na+,56.76,238.8,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-014,P003,2024,synthetic-demo-doi-003,Synthetic Table 3,synthetic biomass hard carbon,SIB,sucrose,1490.8,none,,0.162,0.3493,1.071,2.28,5.12,1 M NaClO4 in EC/PC,20.0,1.15,0.01-3.0 V vs Na/Na+,61.61,233.3,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-015,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,wood,1407.9,CO2,62.6,0.162,0.389,1.195,0.74,1.59,1 M NaPF6 in diglyme,500.0,1.29,0.01-3.0 V vs Na/Na+,71.5,191.7,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-016,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,lignin,1393.7,none,73.64,0.141,0.335,1.084,1.68,5.17,1 M NaPF6 in diglyme,20.0,,0.01-3.0 V vs Na/Na+,57.94,241.2,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-017,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,wood,1414.6,KOH,205.61,0.246,0.3719,1.438,1.94,6.41,1 M NaPF6 in EC/DEC,500.0,1.22,0.01-3.0 V vs Na/Na+,59.68,263.0,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-018,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,corn stalk,1260.7,CO2,63.85,0.02,0.3598,1.415,2.14,3.21,1 M NaPF6 in diglyme,20.0,1.21,0.01-3.0 V vs Na/Na+,60.85,227.3,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-019,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,cellulose,1540.4,none,17.44,0.02,0.3723,0.824,2.98,4.76,1 M NaPF6 in EC/DEC,200.0,1.0,0.01-3.0 V vs Na/Na+,74.03,262.8,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-020,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,rice husk,873.5,none,61.48,0.13,0.3622,1.041,1.7,8.62,1 M NaPF6 in diglyme,500.0,1.67,0.01-3.0 V vs Na/Na+,55.97,244.8,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-021,P004,2023,synthetic-demo-doi-004,Synthetic Table 4,synthetic biomass hard carbon,SIB,lignin,859.9,none,29.56,0.02,0.3617,1.27,2.02,7.25,1 M NaPF6 in diglyme,50.0,,0.01-3.0 V vs Na/Na+,45.38,242.2,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-022,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,lignin,995.5,KOH,,0.11,0.3657,1.268,1.23,5.72,1 M NaPF6 in EC/DMC,25.0,,0.01-3.0 V vs Na/Na+,51.5,213.7,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-023,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,coconut shell,1398.3,none,,0.151,0.353,1.019,0.02,2.19,1 M NaPF6 in EC/DEC,500.0,1.48,0.01-3.0 V vs Na/Na+,74.76,191.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-024,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,chitosan,1373.3,none,43.59,0.061,0.3631,1.188,1.86,7.81,1 M NaClO4 in EC/PC,25.0,0.68,0.01-3.0 V vs Na/Na+,69.28,234.5,,Tier3,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-025,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,coconut shell,1504.0,KOH,134.23,0.08,0.3689,1.109,1.81,1.9,1 M NaPF6 in diglyme,20.0,,0.01-3.0 V vs Na/Na+,64.01,222.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-026,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,coconut shell,1204.6,none,99.73,0.074,0.3844,0.944,1.51,11.68,1 M NaClO4 in EC/PC,100.0,1.7,0.01-3.0 V vs Na/Na+,57.18,265.0,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-027,P005,2026,synthetic-demo-doi-005,Synthetic Table 5,synthetic biomass hard carbon,SIB,pomelo peel,927.1,steam,84.63,0.063,0.3794,1.127,2.44,1.71,1 M NaPF6 in EC/DMC,20.0,,0.01-3.0 V vs Na/Na+,55.74,214.3,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-028,P006,2025,synthetic-demo-doi-006,Synthetic Table 6,synthetic biomass hard carbon,SIB,sucrose,1361.0,none,54.97,0.055,0.3648,1.273,1.84,6.23,1 M NaClO4 in EC/PC,200.0,,0.01-3.0 V vs Na/Na+,65.57,278.3,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
